image_name,label
00000.png,4
00001.png,9
00002.png,1
00003.png,0
00004.png,1
00005.png,1
00006.png,8
00007.png,1
00008.png,1
00009.png,8
00010.png,1
00011.png,1
00012.png,9
00013.png,1
00014.png,8
00015.png,4
00016.png,1
00017.png,1
00018.png,3
00019.png,4
00020.png,2
00021.png,0
00022.png,1
00023.png,9
00024.png,7
00025.png,9
00026.png,4
00027.png,1
00028.png,4
00029.png,7
00030.png,0
00031.png,1
00032.png,8
00033.png,0
00034.png,4
00035.png,1
00036.png,3
00037.png,1
00038.png,1
00039.png,2
00040.png,3
00041.png,6
00042.png,3
00043.png,5
00044.png,9
00045.png,4
00046.png,1
00047.png,2
00048.png,9
00049.png,6
00050.png,4
00051.png,6
00052.png,5
00053.png,1
00054.png,8
00055.png,0
00056.png,7
00057.png,9
00058.png,1
00059.png,0
00060.png,1
00061.png,1
00062.png,8
00063.png,4
00064.png,1
00065.png,1
00066.png,6
00067.png,9
00068.png,4
00069.png,1
00070.png,3
00071.png,5
00072.png,7
00073.png,1
00074.png,1
00075.png,8
00076.png,8
00077.png,3
00078.png,3
00079.png,1
00080.png,1
00081.png,1
00082.png,8
00083.png,8
00084.png,7
00085.png,1
00086.png,7
00087.png,1
00088.png,0
00089.png,1
00090.png,1
00091.png,6
00092.png,8
00093.png,4
00094.png,4
00095.png,1
00096.png,1
00097.png,1
00098.png,7
00099.png,7
00100.png,4
00101.png,8
00102.png,2
00103.png,0
00104.png,7
00105.png,2
00106.png,4
00107.png,1
00108.png,3
00109.png,5
00110.png,8
00111.png,8
00112.png,9
00113.png,4
00114.png,0
00115.png,7
00116.png,1
00117.png,1
00118.png,0
00119.png,1
00120.png,8
00121.png,8
00122.png,1
00123.png,1
00124.png,4
00125.png,4
00126.png,2
00127.png,1
00128.png,1
00129.png,0
00130.png,6
00131.png,7
00132.png,7
00133.png,7
00134.png,8
00135.png,8
00136.png,3
00137.png,1
00138.png,1
00139.png,0
00140.png,1
00141.png,8
00142.png,9
00143.png,0
00144.png,1
00145.png,2
00146.png,1
00147.png,3
00148.png,3
00149.png,1
00150.png,1
00151.png,5
00152.png,9
00153.png,1
00154.png,0
00155.png,6
00156.png,3
00157.png,0
00158.png,6
00159.png,9
00160.png,0
00161.png,4
00162.png,3
00163.png,0
00164.png,9
00165.png,8
00166.png,9
00167.png,9
00168.png,7
00169.png,8
00170.png,1
00171.png,8
00172.png,4
00173.png,2
00174.png,1
00175.png,8
00176.png,0
00177.png,8
00178.png,8
00179.png,7
00180.png,1
00181.png,4
00182.png,7
00183.png,1
00184.png,4
00185.png,8
00186.png,8
00187.png,8
00188.png,8
00189.png,8
00190.png,2
00191.png,6
00192.png,1
00193.png,7
00194.png,7
00195.png,3
00196.png,0
00197.png,1
00198.png,1
00199.png,8
00200.png,8
00201.png,7
00202.png,7
00203.png,0
00204.png,0
00205.png,2
00206.png,1
00207.png,1
00208.png,0
00209.png,7
00210.png,1
00211.png,9
00212.png,0
00213.png,3
00214.png,7
00215.png,3
00216.png,1
00217.png,1
00218.png,1
00219.png,7
00220.png,7
00221.png,4
00222.png,7
00223.png,1
00224.png,2
00225.png,8
00226.png,8
00227.png,2
00228.png,7
00229.png,9
00230.png,2
00231.png,5
00232.png,7
00233.png,0
00234.png,1
00235.png,1
00236.png,0
00237.png,6
00238.png,3
00239.png,1
00240.png,7
00241.png,1
00242.png,1
00243.png,9
00244.png,1
00245.png,1
00246.png,4
00247.png,0
00248.png,6
00249.png,3
00250.png,3
00251.png,1
00252.png,1
00253.png,1
00254.png,1
00255.png,3
00256.png,1
00257.png,1
00258.png,3
00259.png,1
00260.png,1
00261.png,8
00262.png,9
00263.png,3
00264.png,1
00265.png,0
00266.png,7
00267.png,1
00268.png,3
00269.png,1
00270.png,4
00271.png,4
00272.png,0
00273.png,4
00274.png,4
00275.png,0
00276.png,3
00277.png,1
00278.png,0
00279.png,8
00280.png,7
00281.png,7
00282.png,8
